term_name,Group,QC
skeletal myofibril assembly,morphogenesis/development,0.932
skin morphogenesis,morphogenesis/development,0.488
slit diaphragm,cellular component organization,0.214
slit diaphragm assembly,cellular component organization,0.538
slow axonal transport,transport,0.386
slow endocytic recycling,transport,0.49
slow-twitch skeletal muscle fiber contraction,morphogenesis/development,0.264
small RNA 2'-O-methyltransferase activity,metabolic process,0.63
small conductance calcium-activated potassium channel activity,metabolic process,0.216
small intestinal transit,cellular component organization,0.248
small intestine smooth muscle contraction,morphogenesis/development,0.176
small molecule metabolic process,metabolic process,0.912
small molecule sensor activity,metabolic process,0.294
small nuclear ribonucleoprotein complex,gene regulation,0.586
small protein activating enzyme binding,protein modification/signaling,0.52
small ribosomal subunit,cellular component organization,0.458
small ribosomal subunit rRNA binding,gene regulation,0.494
small-subunit processome,cellular component organization,0.392
small-subunit processome assembly,cellular component organization,0.428
smooth endoplasmic reticulum,metabolic process,0.258
smooth endoplasmic reticulum calcium ion homeostasis,other,0.422
smooth endoplasmic reticulum membrane,ER/endosome/lysosome related process,0.278
smooth muscle adaptation,multicellular organismal process,0.43
smooth muscle cell chemotaxis,immune system process,0.284
smooth muscle cell migration,multicellular organismal process,0.716
smooth muscle cell-matrix adhesion,cell adhesion,0.212
smooth muscle contractile fiber,cellular component organization,0.222
smooth muscle contraction,multicellular organismal process,0.736
smooth muscle contraction involved in micturition,morphogenesis/development,0.252
smooth muscle hyperplasia,cell cycle,0.184
smooth muscle hypertrophy,morphogenesis/development,0.376
smoothened binding,protein modification/signaling,0.37
smoothened signaling pathway,receptor related process,0.368
smoothened signaling pathway involved in dorsal/ventral neural tube patterning,protein modification/signaling,0.394
smoothened signaling pathway involved in lung development,protein modification/signaling,0.37
smoothened signaling pathway involved in regulation of cerebellar granule cell precursor cell proliferation,protein modification/signaling,0.318
smoothened signaling pathway involved in regulation of secondary heart field cardioblast proliferation,protein modification/signaling,0.312
smoothened signaling pathway involved in spinal cord motor neuron cell fate specification,receptor related process,0.298
smoothened signaling pathway involved in ventral spinal cord interneuron specification,receptor related process,0.462
smoothened signaling pathway involved in ventral spinal cord patterning,receptor related process,0.412
sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity,metabolic process,0.894
snRNA (adenine-N6)-methylation,protein modification/signaling,0.208
snRNA 2'-O-methylation,gene regulation,0.68
snRNA binding,gene regulation,0.792
snRNA catabolic process,metabolic process,0.816
snRNA export from nucleus,transport,0.366
snRNA import into nucleus,transport,0.336
snRNA metabolic process,metabolic process,0.656
snRNA methylation,gene regulation,0.676
snRNA methyltransferase activity,metabolic process,0.664
snRNA modification,gene regulation,0.668
snRNA processing,gene regulation,0.782
snRNA pseudouridine synthesis,metabolic process,0.228
snRNA transcription by RNA polymerase II,gene regulation,0.532
snRNA transcription by RNA polymerase III,gene regulation,0.526
snRNA transport,transport,0.904
snRNA-activating protein complex,gene regulation,0.484
snRNP binding,gene regulation,0.238
sneeze reflex,cellular component organization,0.336
sno(s)RNA catabolic process,metabolic process,0.8
sno(s)RNA metabolic process,metabolic process,0.592
sno(s)RNA-containing ribonucleoprotein complex,gene regulation,0.48
snoRNA guided rRNA pseudouridine synthesis,cellular component organization,0.348
snoRNA localization,gene regulation,0.336
snoRNA splicing,gene regulation,0.332
snoRNP binding,gene regulation,0.242
sodium channel activity,transport,0.548
sodium channel complex,transport,0.248
sodium channel inhibitor activity,metabolic process,0.262
sodium channel regulator activity,metabolic process,0.286
sodium ion binding,metabolic process,0.224
sodium ion export across plasma membrane,transport,0.53
sodium ion import across plasma membrane,transport,0.49
sodium ion transmembrane transporter activity,transport,0.67
"sodium,bicarbonate:chloride antiporter activity",metabolic process,0.524
sodium-dependent multivitamin transmembrane transporter activity,metabolic process,0.514
sodium-dependent organic anion transmembrane transporter activity,cellular component organization,0.242
sodium-dependent organic anion transport,transport,0.716
sodium-dependent organic cation transport,transport,0.708
sodium-dependent phosphate transport,transport,0.698
sodium-independent organic anion transmembrane transporter activity,cellular component organization,0.248
sodium-independent organic anion transport,transport,0.716
sodium:bicarbonate symporter activity,metabolic process,0.522
sodium:chloride symporter activity,transport,0.538
sodium:dicarboxylate symporter activity,transport,0.55
sodium:inorganic phosphate symporter activity,metabolic process,0.518
sodium:iodide symporter activity,metabolic process,0.526
sodium:phosphate symporter activity,transport,0.502
sodium:potassium-exchanging ATPase complex,cellular component organization,0.362
sodium:potassium:chloride symporter activity,metabolic process,0.526
sodium:proton antiporter activity,transport,0.464
sodium:proton antiporter activity involved in regulation of cardiac muscle cell membrane potential,metabolic process,0.338
sodium:sulfate symporter activity,metabolic process,0.526
soft palate development,morphogenesis/development,0.888
soluble NSF attachment protein activity,cellular component organization,0.296
solute:inorganic anion antiporter activity,transport,0.498
solute:monoatomic cation symporter activity,transport,0.65
solute:potassium antiporter activity,transport,0.584
solute:proton symporter activity,transport,0.536
solute:sodium symporter activity,transport,0.586
somatic cell DNA recombination,immune system process,0.518
somatic diversification of T cell receptor genes,immune system process,0.646
somatic diversification of immune receptors via germline recombination within a single locus,immune system process,0.8
somatic diversification of immune receptors via somatic mutation,immune system process,0.56
somatic diversification of immunoglobulins,immune system process,0.792
somatic diversification of immunoglobulins involved in immune response,immune system process,0.806
somatic motor neuron differentiation,morphogenesis/development,0.452
somatic muscle development,morphogenesis/development,0.978
somatic recombination of T cell receptor gene segments,immune system process,0.614
somatic recombination of immunoglobulin genes involved in immune response,immune system process,0.72
somatic sex determination,morphogenesis/development,0.522
somatic stem cell division,cell cycle,0.448
somatic stem cell population maintenance,morphogenesis/development,0.7
somato-dendritic dopamine secretion,neural related process,0.33
somatodendritic compartment,neural related process,0.526
somatostatin receptor activity,receptor related process,0.304
somatostatin receptor binding,receptor related process,0.442
somatostatin receptor signaling pathway,receptor related process,0.808
somatostatin secretion,cellular component organization,0.226
somatostatin signaling pathway,receptor related process,0.674
somatotropin secreting cell development,morphogenesis/development,0.936
somatotropin secreting cell differentiation,morphogenesis/development,0.692
somite rostral/caudal axis specification,morphogenesis/development,0.294
somite specification,morphogenesis/development,0.23
sorbitol catabolic process,metabolic process,0.872
